;key;value;function;total;size
107;100;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""100""}";6372656174654465004173736574;"100{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""100""}";74
108;101;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""101""}";6372656174654465004173736574;"101{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""101""}";74
109;102;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""102""}";6372656174654465004173736574;"102{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""102""}";74
110;103;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""103""}";6372656174654465004173736574;"103{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""103""}";74
111;104;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""104""}";6372656174654465004173736574;"104{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""104""}";74
112;105;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""105""}";6372656174654465004173736574;"105{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""105""}";74
113;106;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""106""}";6372656174654465004173736574;"106{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""106""}";74
114;107;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""107""}";6372656174654465004173736574;"107{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""107""}";74
115;108;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""108""}";6372656174654465004173736574;"108{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""108""}";74
116;109;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""109""}";6372656174654465004173736574;"109{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""109""}";74
117;110;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""110""}";6372656174654465004173736574;"110{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""110""}";74
118;111;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""111""}";6372656174654465004173736574;"111{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""111""}";74
119;112;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""112""}";6372656174654465004173736574;"112{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""112""}";74
120;113;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""113""}";6372656174654465004173736574;"113{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""113""}";74
121;114;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""114""}";6372656174654465004173736574;"114{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""114""}";74
122;115;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""115""}";6372656174654465004173736574;"115{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""115""}";74
