;chaincodename;key;value;function;total;size
30;micro;|DEMOASSET|23|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|23|pocket1|100000.0;30
30;micro;|DEMOASSET|23|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|23|pocket2|100000.0;30
30;micro;|DEMOASSET|23|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|23|pocket3|100000.0;30
31;micro;|DEMOASSET|24|;"{""uuid"":""24"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|24|{""uuid"":""24"",""type"":""DemoAsset""}";46
31;micro;|DEMOASSET|24|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|24|pocket1|100000.0;30
31;micro;|DEMOASSET|24|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|24|pocket2|100000.0;30
31;micro;|DEMOASSET|24|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|24|pocket3|100000.0;30
32;micro;|DEMOASSET|25|;"{""uuid"":""25"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|25|{""uuid"":""25"",""type"":""DemoAsset""}";46
32;micro;|DEMOASSET|25|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|25|pocket1|100000.0;30
32;micro;|DEMOASSET|25|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|25|pocket2|100000.0;30
32;micro;|DEMOASSET|25|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|25|pocket3|100000.0;30
33;micro;|DEMOASSET|26|;"{""uuid"":""26"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|26|{""uuid"":""26"",""type"":""DemoAsset""}";46
33;micro;|DEMOASSET|26|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|26|pocket1|100000.0;30
33;micro;|DEMOASSET|26|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|26|pocket2|100000.0;30
33;micro;|DEMOASSET|26|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|26|pocket3|100000.0;30
34;micro;|DEMOASSET|27|;"{""uuid"":""27"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|27|{""uuid"":""27"",""type"":""DemoAsset""}";46
34;micro;|DEMOASSET|27|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|27|pocket1|100000.0;30
34;micro;|DEMOASSET|27|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|27|pocket2|100000.0;30
34;micro;|DEMOASSET|27|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|27|pocket3|100000.0;30
