;chaincodename;key;value;function;total;size
2867;micro-aff;|DEMOASSET|262|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|262|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2868;micro-aff;|DEMOASSET|245|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|245|pocket1|100000.0;31
2869;micro-aff;|DEMOASSET|336|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|336|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2870;micro-aff;|DEMOASSET|367|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|367|pocket1|100000.0;31
2871;micro-aff;|DEMOASSET|201|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|201|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2872;micro-aff;|DEMOASSET|231|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|231|pocket1|100000.0;31
2873;micro-aff;|DEMOASSET|250|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|250|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2874;micro-aff;|DEMOASSET|212|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|212|pocket1|100000.0;31
2875;micro-aff;|DEMOASSET|347|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|347|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2876;micro-aff;|DEMOASSET|362|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|362|pocket1|100000.0;31
2877;micro-aff;|DEMOASSET|396|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|396|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2878;micro-aff;|DEMOASSET|241|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|241|pocket1|100000.0;31
